time,epoch,type,loss,accuracy,precision,recall,f_score
1670240919.1352637,1,train,0.3721584957315273,0.8486537337303162,0.4582605573900559,0.5013258437951681,0.4653089271191063
1670240976.6962657,1,eval,0.30250460831470555,0.9233293533325195,0.4616806340136673,0.4999802058590657,0.4796906597940289
1670241340.225251,2,train,0.22586355962943916,0.8983852863311768,0.4561758124078972,0.5051064041368337,0.47792650217518357
1670241397.7685037,2,eval,0.23355025484839415,0.923298180103302,0.4616799480903271,0.49996396142729593,0.47968236958473004
1670241761.2902963,3,train,0.14280446392966342,0.9351251125335693,0.7123057815466171,0.6877462096972058,0.6845286812642223
1670241819.0715375,3,eval,0.15654152529115065,0.9309505224227905,0.5753046928498553,0.5772082524450233,0.5656160161270718
1670242182.7618895,4,train,0.10490612203570923,0.9561620950698853,0.8455102989459428,0.8355059085565215,0.8263236007347697
1670242240.4488082,4,eval,0.13967485927629358,0.9362246990203857,0.6344927987047836,0.6252184135755903,0.6161383755766542
1670242604.0453463,5,train,0.09191992732213904,0.9613842368125916,0.8649799742527237,0.8613061221741396,0.8499710308781955
1670242661.6359856,5,eval,0.1334071141930912,0.9384847283363342,0.6676259758081053,0.653564012627359,0.645117429119954
1670243025.3699253,6,train,0.08358159114057664,0.9642757773399353,0.876053655248579,0.8750449271890425,0.8625842624066515
1670243083.166006,6,eval,0.13191541616147884,0.9399164915084839,0.6809248762043474,0.6642938232935989,0.6567679841438827
1670243446.8988209,7,train,0.07750926390934851,0.9673733115196228,0.8886236610532287,0.8876834410506551,0.8757945894136295
1670243504.3795772,7,eval,0.1313729047014283,0.9415170550346375,0.6950414311552628,0.677013429507523,0.6697777455376229
1670243868.2802198,8,train,0.07422125084894689,0.968686580657959,0.8907338883908174,0.8942414707339763,0.8805071768983903
1670243926.2523677,8,eval,0.13063643237403338,0.9422287940979004,0.7057430499171723,0.685142494288432,0.6781614846772847
1670244290.2845316,9,train,0.07024408269424641,0.9711245894432068,0.9008659045907528,0.9027462849469678,0.8899990945603861
1670244347.8890936,9,eval,0.1329807329860974,0.9420649409294128,0.7053976305874646,0.6836245302195736,0.6773200645508328
1670244711.5499327,10,train,0.06610829145747608,0.972641110420227,0.9050626386678623,0.9078893246558954,0.8954249154944938
1670244769.0705953,10,eval,0.13066419722808795,0.9441424608230591,0.7265144961109946,0.7040179003767081,0.6968890599983018
