time,epoch,type,loss,accuracy,precision,recall,f_score
1670237361.7753673,1,train,0.40032291657915725,0.8360030055046082,0.43911688326315745,0.4987575108745905,0.4621218890352839
1670237419.2646065,1,eval,0.2784882782120036,0.9233245849609375,0.46168010371501794,0.49997718820218556,0.47968933699644717
1670237708.7183313,2,train,0.2713951479629631,0.8599920272827148,0.4864391801317271,0.5222932716584504,0.49178246284776633
1670237766.32589,2,eval,0.18856637340897336,0.9281710982322693,0.5685287073774784,0.5727949886656587,0.5602962319339935
1670238055.9320662,3,train,0.15902550365036347,0.9315534234046936,0.8565764285666965,0.8069348452667912,0.8103399863790632
1670238113.6660585,3,eval,0.13587172382517834,0.9411546587944031,0.7637068037999488,0.8216975151782393,0.7661900460074093
1670238403.329637,4,train,0.11668535767032412,0.9549991488456726,0.906425715482559,0.9090337656313014,0.8953589300546276
1670238461.205105,4,eval,0.13537776236579424,0.9420099258422852,0.7870710164799432,0.8643538579798814,0.7958019844541112
1670238751.0047228,5,train,0.1025939363190967,0.9604030251502991,0.9166033366369112,0.9253384509789465,0.9096337157966315
1670238808.6003697,5,eval,0.13875839901720827,0.9415437579154968,0.7909176624031581,0.8771176170569674,0.8026059245886036
1670239097.996824,6,train,0.0958791749224011,0.9628793001174927,0.9216457508454183,0.9297152341627523,0.915097645189142
1670239155.7846,6,eval,0.13872284239109367,0.9428533911705017,0.7951874983875211,0.8791568150207173,0.8067705567187765
1670239445.3146029,7,train,0.08887572620022163,0.9647613763809204,0.9254673704841955,0.933676015533727,0.9195080610628287
1670239502.8380556,7,eval,0.14229980645139398,0.9424957036972046,0.7996723549558112,0.8899777003346074,0.813073920724444
1670239792.260761,8,train,0.08511047278729718,0.9660629034042358,0.9278091293770435,0.9367611367412192,0.9224913924508404
1670239849.9410453,8,eval,0.1413447316116576,0.9439499974250793,0.8024909639523823,0.8875342374084025,0.8147782926854997
1670240139.3128245,9,train,0.0813811578358827,0.9679677486419678,0.930596913061262,0.940186269971643,0.9258705405325729
1670240196.8079727,9,eval,0.1448394961416226,0.9426392316818237,0.8018994402494672,0.893501304693436,0.8156007116930731
1670240486.4868205,10,train,0.07799659148277191,0.9690266251564026,0.9342690332477913,0.9420855765074734,0.929340056275639
1670240544.1845,10,eval,0.1476525853027428,0.9425415396690369,0.8030344811235083,0.8951894077382594,0.8170097020525092
