time,epoch,type,loss,accuracy,precision,recall,f_score
1669751355.6798472,1,train,0.43726414466838653,0.8571972846984863,0.4722036535996766,0.4964901710923,0.470706129222517
1669751413.5100741,1,eval,0.2682887379106603,0.9233657121658325,0.46168187114747544,0.5,0.4797008761248334
1669751596.4584625,2,train,0.23951138773680866,0.9233667850494385,0.4616818711474754,0.5,0.4797008761248328
1669751654.2541158,2,eval,0.22108114813399146,0.9233657121658325,0.46168187114747544,0.5,0.4797008761248334
1669751837.3150527,3,train,0.2071205905844367,0.9233661890029907,0.46168187114747583,0.5,0.47970087612483375
1669751895.0661428,3,eval,0.1878540111603901,0.9233657121658325,0.46168187114747544,0.5,0.4797008761248334
1669752078.024713,4,train,0.17107694251838887,0.9233546257019043,0.4616816287702394,0.49999381433095796,0.479697752706844
1669752135.7237244,4,eval,0.14783925809974907,0.9234131574630737,0.462001503492823,0.5001979414093428,0.4799507596061315
1669752318.7925608,5,train,0.13310237910218023,0.9288983345031738,0.5345858317194405,0.5448045154469408,0.5326087683818704
1669752376.6139731,5,eval,0.11177102037464355,0.9423688054084778,0.6875980742340623,0.6512446657229419,0.6533912511635989
