time,epoch,type,loss,accuracy,precision,recall,f_score
1669660099.2975707,1,train,0.5666985582364233,0.7780465483665466,0.48032187022298123,0.4846299068199075,0.4592700225599387
1669660157.218295,1,eval,0.5494290937862034,0.8409395217895508,0.46362919345133624,0.46375911736735004,0.4599274960847147
1669660198.4954138,2,train,0.42782473799429444,0.9078705310821533,0.46352268704371996,0.4924966562831673,0.47665427050374326
1669660256.216986,2,eval,0.4533516080107655,0.9144748449325562,0.4616142904062247,0.4953103959636164,0.4773948480986196
1669660297.4391146,3,train,0.3350926669020402,0.9224873185157776,0.4620226077207788,0.499116171313513,0.4792715260761758
1669660355.0959592,3,eval,0.3851875382477767,0.9226346015930176,0.46180382702815576,0.4996610557068329,0.47959361315696347
1669660396.3276606,4,train,0.27701823687867116,0.9241505265235901,0.46207552529701224,0.5,0.4797303461987175
1669660454.5454822,4,eval,0.33680558459492593,0.923210859298706,0.46167206707948166,0.4999118592737983,0.4796554706819957
1669660495.8583794,5,train,0.24005751115711113,0.924150824546814,0.4620755252970126,0.5,0.4797303461987175
1669660553.7174416,5,eval,0.3038914438133568,0.9233657121658325,0.46168187114747544,0.5,0.4797008761248334
