time,epoch,type,loss,accuracy,precision,recall,f_score
1669713232.179427,1,train,0.3778930973904162,0.860860288143158,0.5703505512951971,0.6068238882752176,0.5823251873686487
1669713290.2638326,1,eval,0.24513778927561222,0.9233657121658325,0.46168187114747544,0.5,0.4797008761248334
1669713693.488256,2,train,0.22731865111744448,0.9024554491043091,0.6561651959209778,0.6682916290304983,0.6508133221087594
1669713751.2136762,2,eval,0.15936767072759728,0.928564190864563,0.5878898083376126,0.5862230448030498,0.5753600315358759
1669714154.4172387,3,train,0.130328384531819,0.9485794901847839,0.8817361397529995,0.8498683278129486,0.853475944774858
1669714212.1202893,3,eval,0.12683122625437315,0.9422357678413391,0.7581375453819807,0.8055821944879447,0.7579793360986863
1669714614.9878263,4,train,0.10680925804062726,0.9563815593719482,0.894336592731528,0.8845842343866331,0.8804809854305183
1669714672.7302585,4,eval,0.12693268833173144,0.943520188331604,0.7797285053885803,0.8435738086260621,0.7851626219414064
1669715076.0790503,5,train,0.09689722714414205,0.9605236649513245,0.9021767468130292,0.8946491705428303,0.8901478449388174
1669715134.0448554,5,eval,0.12677612757385484,0.944949746131897,0.790371482059635,0.856787429347369,0.7969930036791399
