time,epoch,type,loss,accuracy,precision,recall,f_score
1670080234.7566457,1,train,0.21484903109545078,0.9314738512039185,0.5311153963815823,0.5129129064780766,0.5037177524017568
1670080236.5944653,1,eval,0.12062936201691628,0.9555883407592773,0.8628379881028275,0.7513621062756682,0.7869856564250268
1670080465.305608,2,train,0.11660516919949047,0.9539344310760498,0.8035877404565261,0.7199831958525281,0.734978029475176
1670080467.1468272,2,eval,0.10821616761386395,0.9578432440757751,0.8221972063195097,0.91366360723504,0.8538622569651974
1670080695.3602057,3,train,0.10297163470344105,0.96131831407547,0.8219834888623122,0.7863893563658805,0.7880610181341298
1670080697.2173946,3,eval,0.12047245502471923,0.9544119238853455,0.806764946257778,0.9312197363665357,0.8497894971861767
1670080925.7926452,4,train,0.09529117761617517,0.9645100235939026,0.8306148154059325,0.8039345870812628,0.8026231598318352
1670080927.6286728,4,eval,0.1232864461839199,0.9508824348449707,0.7946341847176492,0.9312484212767395,0.841398959784765
1670081156.1271422,5,train,0.08932980650984744,0.9670606255531311,0.8413906188049737,0.8165376048101384,0.814867919422739
1670081157.9656138,5,eval,0.14429389014840127,0.9412746429443359,0.7675973953129066,0.9312087770431077,0.820529523267832
1670081387.487519,6,train,0.0834945651687424,0.9688400626182556,0.8489802046038123,0.829223327993018,0.8261105853777803
1670081389.352201,6,eval,0.1634321805089712,0.9346079230308533,0.7518048777364845,0.9288271726349073,0.8065137694367929
1670081617.577311,7,train,0.07962008501002271,0.9704442024230957,0.855941760387923,0.836523813347883,0.8335731449793917
1670081619.4273632,7,eval,0.15885776616632938,0.9360784888267517,0.7546820177669314,0.9284107407868267,0.8090238377538956
1670081847.5580316,8,train,0.074917743803217,0.9719533920288086,0.8629257851374889,0.8475190621502099,0.8427815790376996
1670081849.3921359,8,eval,0.19490951336920262,0.9272549748420715,0.7361522896919643,0.925479654366083,0.791818444833175
1670082079.3498185,9,train,0.0710952861749947,0.9731262922286987,0.8682938226450859,0.8484753666908563,0.8460592419955657
1670082081.1924314,9,eval,0.18902525641024112,0.9275490641593933,0.737054123625038,0.92504309176013,0.792437882454158
1670082309.7116902,10,train,0.06695791894104805,0.9747884273529053,0.8774097003449443,0.8595701876451117,0.8575175317585091
1670082311.5556881,10,eval,0.206864819675684,0.9223529696464539,0.7266742927890457,0.9228537781903683,0.7823637998563767
