time,epoch,type,loss,accuracy,precision,recall,f_score
1669911719.7930455,1,train,0.33629948681766314,0.870193600654602,0.5044526261043538,0.5541410630909751,0.5233129555603321
1669911777.356774,1,eval,0.20030331629330642,0.9233695864677429,0.4619875435601201,0.5000907372443398,0.479850046178608
1669912365.9919171,2,train,0.17560466430499733,0.9196414947509766,0.7339851575107085,0.7244776186267439,0.7127855534084523
1669912423.7572513,2,eval,0.12002293093930798,0.945514976978302,0.771497727860565,0.8017796804369407,0.7656015533096033
1669913012.6352277,3,train,0.13209927084667825,0.9439349174499512,0.859249760244306,0.8573564942272357,0.8414952873846516
1669913070.336621,3,eval,0.11584114073609796,0.9484862685203552,0.8005285573239509,0.83969970665777,0.7975635197647758
1669913659.0025904,4,train,0.12004970226283233,0.9477402567863464,0.8677790952728187,0.8703836301850826,0.8535852868497746
1669913716.7520385,4,eval,0.11442405048695851,0.9495022892951965,0.8067331722834972,0.8488658170303031,0.8053894639537352
1669929081.0713098,1,train,0.33939575525727644,0.8577492833137512,0.44447364974242065,0.5037070815613663,0.46773779594685194
1669929139.3370159,1,eval,0.19424033867562468,0.9235445261001587,0.4659625790837626,0.5019133060027736,0.4821996079895166
1669929730.2339237,2,train,0.1675141753302407,0.9214911460876465,0.7712673279852589,0.7559302617241371,0.7432279747977265
1669929788.5689504,2,eval,0.12088477643396962,0.9483442306518555,0.8033773967214797,0.8561319539527155,0.8063405588475273
1669930379.5503373,3,train,0.1295244312805394,0.945212185382843,0.8706391041982399,0.8765202651762138,0.8554524119091402
1669930437.9267533,3,eval,0.1186797457200756,0.9480253458023071,0.8095694890815283,0.8748914981643433,0.8170644882445011
1669931028.447099,4,train,0.11876979424029764,0.9494209289550781,0.8785536693068642,0.8895049202697402,0.8671669599471268
1669931086.858874,4,eval,0.11910282605440486,0.9472302198410034,0.8104632472834797,0.8816514113535255,0.8194935853132572
1669931678.039103,5,train,0.1122763227007526,0.9530062675476074,0.8861845430543586,0.8965407498655975,0.8750322819673069
1669931736.4959178,5,eval,0.11760286608989619,0.948581337928772,0.8127166715321522,0.8760021891284557,0.8190650213255518
1669932327.5927653,6,train,0.1070920889922836,0.955561637878418,0.8897368929484606,0.9009054723231094,0.8799123107277994
1669932386.009228,6,eval,0.12269172754643082,0.9469664096832275,0.8104148417395569,0.8839094112683538,0.8201108547475554
1669932976.8291926,7,train,0.10314808896192745,0.9569664597511292,0.8933599043104652,0.9051277599575918,0.8843124641406207
1669933034.9369385,7,eval,0.11935995958055283,0.948204755783081,0.8123386931215928,0.8805366766482706,0.8202976123318992
1669933625.376683,8,train,0.09884790354716935,0.9588261842727661,0.8973754363384022,0.9084563622149006,0.8883547013473242
1669933683.5672612,8,eval,0.1217973702399153,0.9486538767814636,0.8153260341785171,0.8840457586536629,0.8235684060468491
1669934274.38326,9,train,0.09597596446318286,0.9606046676635742,0.9025475509914074,0.9126293514006707,0.8932945363960298
1669934332.8282015,9,eval,0.12284029699915096,0.9478294849395752,0.8144192892587886,0.8851410420766938,0.8230041211226337
1669934923.798217,10,train,0.09281180244328699,0.9621771574020386,0.9057562392663323,0.9143094786767302,0.8965739712591612
1669934982.0746582,10,eval,0.12288210296786596,0.9486148953437805,0.8171390098196132,0.8859853828837588,0.8252204784108639
