time,epoch,type,loss,accuracy,precision,recall,f_score
1669754597.8336935,1,train,0.3714411350369737,0.8527323603630066,0.49533510955237076,0.5516037996780083,0.5156379658818073
1669754655.646842,1,eval,0.20475209782214177,0.923114538192749,0.4741459891597039,0.5047427512738725,0.48646152850912944
1669755203.214291,2,train,0.14214949952903028,0.9453735947608948,0.8684986562977172,0.843017999500433,0.8423976254902698
1669755261.0271785,2,eval,0.16131637997553638,0.9396809339523315,0.7892028589506771,0.8612285859130908,0.7980974509354838
1669755808.640388,3,train,0.0840469400862251,0.9711127281188965,0.9417393243038831,0.9378092685643273,0.9328127905585337
1669755866.4913461,3,eval,0.17236681014405578,0.9387339949607849,0.7905464381462576,0.8657160265508216,0.8008785933935709
1669756414.1182709,4,train,0.07355669794474402,0.9747132658958435,0.9491630336354215,0.9450302614545271,0.94107780668787
1669756471.9596527,4,eval,0.17996178933744475,0.9381745457649231,0.7896451131559337,0.8666768243629788,0.8003920979563758
1669757019.590468,5,train,0.06771025211702934,0.9758050441741943,0.9511694772498887,0.9472415605038016,0.9435335973170023
1669757077.3678672,5,eval,0.18450239382135614,0.9371180534362793,0.787075425663467,0.8660822241199753,0.7985462976540066
