time,epoch,type,loss,accuracy,precision,recall,f_score
1669907910.6107602,1,train,0.3248251542236629,0.8747108578681946,0.5697943847802903,0.6067211989670356,0.5793916640094513
1669907968.6215785,1,eval,0.16397988794464397,0.9297648668289185,0.6187298922528971,0.6158802292419064,0.6022045422453901
1669908698.0946043,2,train,0.13732518709979225,0.9436931610107422,0.8776073127009311,0.8507805731558303,0.8521256887093105
1669908756.052052,2,eval,0.14066190111523852,0.9427462816238403,0.7977994375970576,0.8708492000909358,0.8062348867099896
1669909486.7585075,3,train,0.11009688609149175,0.9548391699790955,0.8994563625126042,0.8890533827295107,0.885434347679796
1669909544.8394897,3,eval,0.14348509210889668,0.9423714876174927,0.7976949042565918,0.8766275808507815,0.808898727592578
1669910275.108814,4,train,0.10204972035413046,0.958254873752594,0.9062840340636857,0.8971806272046907,0.8935523261840934
1669910333.1171787,4,eval,0.1503673391748494,0.9414453506469727,0.797396413434364,0.8778098554196527,0.8090458566367792
1669911063.4756854,5,train,0.0974810100713581,0.9598322510719299,0.9095365275545856,0.9007416707913279,0.8972267714963778
1669911121.1732967,5,eval,0.15136301905058341,0.9416038990020752,0.7979101461575882,0.8795234363147505,0.8102546014551095
1669936312.2817564,1,train,0.3440308078812542,0.8489170074462891,0.48747603916475424,0.5284670536714953,0.49602222183109096
1669936370.529647,1,eval,0.16523444221627118,0.9304719567298889,0.6330697752934726,0.6295508115156291,0.6152827187662411
1669937025.3450236,2,train,0.1379217699542765,0.9441460967063904,0.8898305954163593,0.8684607499431927,0.8652105063401974
1669937083.3142815,2,eval,0.15037198126705412,0.9424352645874023,0.8001569471927537,0.8842276884775966,0.8127526734885773
1669937737.4407463,3,train,0.1081417729722107,0.9586986303329468,0.9209213348920873,0.9172052698154874,0.908543964087752
1669937795.4571435,3,eval,0.15460664474553565,0.941903829574585,0.7990691561990532,0.8841467043947192,0.8123584391051599
1669938449.9687948,4,train,0.09826352638471655,0.9629702568054199,0.9272725987479958,0.92440778179894,0.9162438635811768
1669938508.0896368,4,eval,0.15915230032490155,0.9418132901191711,0.7993555409095099,0.8831795074591257,0.8128399262921873
1669939162.1921403,5,train,0.09289781791819725,0.9646130204200745,0.9306923127380191,0.9290185159622376,0.9207588051854761
1669939220.192824,5,eval,0.1630476119346262,0.9413422346115112,0.7992677855535618,0.8855545466876644,0.8134283389727951
1669939873.823773,6,train,0.08886938758808953,0.9664599299430847,0.9348491446818026,0.9325307406419013,0.9248470329473433
1669939931.5729024,6,eval,0.16802311851477114,0.9411479234695435,0.7993277995485436,0.8868362297839386,0.8140658291207855
1669940584.9671485,7,train,0.08487110318318034,0.9680222272872925,0.9360856919344306,0.9351216156657918,0.9271966602917023
1669940642.8883429,7,eval,0.1694834578401827,0.9413663744926453,0.7995759248265211,0.8882442942431609,0.8147858491367802
1669941296.663476,8,train,0.08256871558962751,0.9682134985923767,0.9370300523317301,0.9370213810307075,0.9288254499756728
1669941354.5045152,8,eval,0.17540143475361222,0.9415109157562256,0.8000924722770509,0.8868868097613309,0.8146315688249264
1669942008.0313509,9,train,0.07928109066156747,0.9696241617202759,0.9386151226576773,0.9394174872987655,0.9310854547983227
1669942065.8070629,9,eval,0.17803269701693517,0.9398995637893677,0.7965973570788832,0.8888403598755364,0.8126955139782515
1669942719.2458026,10,train,0.07607403730942136,0.9708583354949951,0.941077339824758,0.942654903499813,0.9342784735122737
1669942777.1745396,10,eval,0.17881580974880137,0.9402636289596558,0.797101498722469,0.8879946232671658,0.8128179086606316
